fluid,L_m,v0_m_s,U_W_m2K,status,dp_Pa,dp_fraction,q0,qref,q1,q2,heat_ref,cp0_error,cp1_error,table_error,frozen_error,one_error,two_error,gated_error,flow_one_error,outlet_ref_K,vapor_in,vapor_out,one_self_mismatch,refinement_error,energy_residual,one_cpu_us,reference_cpu_us,reference_evals,detail
water-cooling,1.0,3.0,2.0,OK,1738.7847503776068,0.005795949167925356,5.693910511213325,5.693910800383679,5.693910738738,5.693910738737091,18.84943214864277,7.524327668782243E-11,8.235664572166169E-11,5.345226669182054E-9,5.35147115209083E-9,5.340706953503311E-9,5.3408665948369174E-9,5.35147115209083E-9,1.0826597209725795E-8,359.99921203810044,0.0,0.0,1.0764198645008474E-11,NaN,7.139058698614619E-11,0.0,0.0,43,
water-cooling,1.0,3.0,15.0,OK,1738.7847503776068,0.005795949167925356,5.693910511213325,5.6939126799554725,5.693912217550735,5.693912217549825,141.36470737895138,6.179991975691051E-10,6.416893993598286E-10,4.051293353442666E-8,4.052306958965219E-8,4.050987693524797E-8,4.0510036771881995E-8,4.052306958965219E-8,8.121036686055788E-8,359.9940905399318,0.0,0.0,1.3192654938653222E-11,NaN,8.826400445941892E-12,0.0,0.0,43,
water-cooling,1.0,3.0,60.0,OK,1738.7847503776068,0.005795949167925356,5.693910511213325,5.693919185521788,5.693917336130693,5.6939173361297835,565.3752962175182,2.4810123736443087E-9,2.1652264473434516E-9,1.620102059058357E-7,1.623127624413397E-7,1.6207340278469746E-7,1.6207356244386504E-7,1.623127624413397E-7,3.2480107903165483E-7,359.9763656786679,0.0,0.0,2.3935969543607594E-10,NaN,4.819938119122769E-13,0.0,15625.0,43,
water-cooling,10.0,0.002,2.0,OK,0.08341827010661164,2.780609003553721E-7,0.003795940340808883,0.0035435540014578013,0.003555296444934531,0.003539876943108009,169.9205153301561,8.854243247841894E-5,3.7199813633340505E-5,1.6074386660265935E-5,0.006794673807698337,3.207833380516527E-4,1.2198678291182139E-4,0.006794673807698337,0.003313747574299379,348.57238592918094,0.0,0.0,0.006471814419413974,NaN,1.170477653134457E-15,0.0,0.0,43,
water-cooling,10.0,0.002,15.0,OK,0.08341827010661164,2.780609003553721E-7,0.003795940340808883,0.002125836710678383,0.0025380676395310364,0.002240600480111922,496.0717036426329,0.0030170363062025723,1.6299320231167588E-4,1.3276891579576732E-6,0.48598644161315163,0.14514957152766134,0.042352520979324654,0.14514957152766134,0.19391467217682243,304.23569506178,0.0,0.0,0.2976352422075349,NaN,6.003780017600789E-16,0.0,15625.0,43,
water-cooling,10.0,0.002,60.0,OK,0.08341827010661164,2.780609003553721E-7,0.003795940340808883,0.0015911491400296737,0.0017439126204415226,0.0015955410615468891,399.47035596820757,0.004072606546596459,8.974287594196986E-9,2.0694623137970805E-9,1.3793863601302254,0.09600638758896933,0.002760194057775768,0.09600638758896933,0.09600827261798982,300.0000421485483,0.0,0.0,1.170960303766548,NaN,1.1684901570548414E-15,0.0,46875.0,43,
water-cooling,10.0,0.02,2.0,OK,1.2747506871837626,4.249168957279209E-6,0.037959403408088836,0.03805494998471129,0.03806135895843416,0.038061090334111675,186.6555450907018,8.868873935539039E-7,4.3531886221275727E-7,7.2906655178123585E-6,3.195918121958325E-5,5.640379938596617E-6,5.709538582386543E-6,3.195918121958325E-5,1.6841366827304746E-4,358.8323826473712,0.0,0.0,2.6318949729862694E-5,2.658541311798315E-9,1.3551948888952524E-14,0.0,0.0,43,
water-cooling,10.0,0.02,15.0,OK,1.2747506871837626,4.249168957279209E-6,0.037959403408088836,0.03862028208253076,0.03864454224457753,0.03863367091000049,1315.8063344090722,4.411317977008128E-5,1.9584324588605052E-5,1.5718591484742025E-5,0.0012494874180411432,2.8806271372607554E-5,8.86061910577078E-6,0.0012494874180411432,6.281715393721499E-4,351.88330419706915,0.0,0.0,0.0012782568675995388,NaN,1.7279680139723162E-16,0.0,15625.0,43,
water-cooling,10.0,0.02,60.0,OK,1.2747506871837626,4.249168957279209E-6,0.037959403408088836,0.03971714332656519,0.03975165865296146,0.03973262566058311,4318.377529848516,4.871499517123142E-4,1.520779113024055E-4,1.2317805861122537E-5,0.011802799942109412,2.1063271603912666E-4,8.772912505892825E-5,0.011802799942109412,8.690284221217912E-4,334.05583898673916,0.0,0.0,0.012010902769076206,NaN,2.3162252099080017E-15,0.0,0.0,43,
water-cooling,10.0,0.2,2.0,OK,100.2577137590534,3.341923791968447E-4,0.3795940340808883,0.37957726027213645,0.3795750655948078,0.3795750646474616,188.31001249606732,1.2404172412370648E-8,1.0176664740205082E-10,8.098724194739118E-7,7.663248364439308E-7,8.155703605683532E-7,8.155731647046416E-7,7.663248364439308E-7,5.781898860524641E-6,359.88191603632316,0.0,0.0,4.924556428764505E-8,NaN,1.2964933722141048E-13,0.0,0.0,43,
water-cooling,10.0,0.2,15.0,OK,100.2577137590534,3.341923791968447E-4,0.3795940340808883,0.379468023879713,0.37945271070905184,0.3794526584759982,1403.3205298431762,5.034855871081996E-7,2.463171005078379E-7,5.652173378395607E-6,3.203148372942704E-6,5.949897267032628E-6,5.9509128806239696E-6,3.203148372942704E-6,4.035431102891231E-5,359.11968479559766,0.0,0.0,2.746765237060901E-6,NaN,2.1225463516020712E-14,0.0,15625.0,43,
water-cooling,10.0,0.2,60.0,OK,100.2577137590534,3.341923791968447E-4,0.3795940340808883,0.3790863943604551,0.3790413933100353,0.3790406116558285,5490.759926341389,7.825173611685534E-6,3.735399628424387E-6,1.6639314724432226E-5,2.2571879855930404E-5,2.0120261992820068E-5,2.0180732113800746E-5,2.2571879855930404E-5,1.1870922061379654E-4,356.55112186873873,0.0,0.0,4.2693000843112695E-5,NaN,1.093252280167398E-14,0.0,0.0,43,
