=== harness select (repo /home/user/CreateChemE, 3dbd9b8 + uncommitted src changes)
DUTYSTEP 11 open=false phi=0.009093199890806371 q=[0.011204447418186547, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 12 open=false phi=0.00910444876437492 q=[0.011204241814238129, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 13 open=false phi=0.009115697431883358 q=[0.011204036224565415, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 14 open=false phi=0.00912694589329814 q=[0.011203830649309994, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 15 open=false phi=0.009138194148651366 q=[0.011203625088330836, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 16 open=false phi=0.009149442197956163 q=[0.011203419541566811, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 17 open=false phi=0.009160690041225564 q=[0.011203214008957019, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 18 open=false phi=0.009171937678472557 q=[0.01120300849044086, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 19 open=false phi=0.009183185109710095 q=[0.011202802985957992, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 20 open=false phi=0.00919443233495106 q=[0.011202597495448247, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 21 open=false phi=0.009205679354208298 q=[0.011202392018851802, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 22 open=false phi=0.00921692616749459 q=[0.011202186556109031, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 23 open=false phi=0.009228172774822668 q=[0.011201981107160612, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 24 open=false phi=0.00923941917620521 q=[0.011201775671947387, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 25 open=false phi=0.009250665371654865 q=[0.01120157025041055, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 26 open=false phi=0.009261911361184193 q=[0.011201364842491424, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 27 open=false phi=0.009273157144805748 q=[0.011201159448131702, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 28 open=false phi=0.009284402722506002 q=[0.011200954067398117, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 29 open=false phi=0.009295648094344256 q=[0.011200748700007675, 0.0] modes=[PASSIVE, CLOSED]
