node,pressure_ref_Pa,pressure_rel,temperature_dK,mass_rel,hc_moles_rel,liquid_volume_rel,water_volume_rel,vapor_volume_rel,kappa_eos_per_Pa,pressure_term,anchor_term,first_order_liquid_rel,exact_formulation_rel,check_residual_of_deviation,water_kappa_per_Pa,water_first_order_rel
21,150087.464967,7.8716e-08,1.3696e-06,2.8484e-05,2.8484e-05,1.0251e-03,-9.3060e-04,-4.5147e-05,1.2436e-09,4.5065e-04,5.9206e-04,1.0712e-03,9.8882e-04,0.0450,4.5656e-10,-1.0053e-03
22,149686.248237,-1.4636e-07,-2.9946e-06,2.8555e-05,2.8555e-05,1.0252e-03,-9.3014e-04,-4.4855e-05,1.2434e-09,4.5043e-04,5.9234e-04,1.0714e-03,9.8886e-04,0.0450,4.5658e-10,-1.0055e-03
23,149516.418409,-2.8704e-07,-6.1663e-06,2.8576e-05,2.8576e-05,1.0254e-03,-9.2983e-04,-4.4716e-05,1.2434e-09,4.5049e-04,5.9249e-04,1.0716e-03,9.8906e-04,0.0450,4.5661e-10,-1.0055e-03
24,149520.204870,-2.6671e-07,-5.7591e-06,2.8592e-05,2.8592e-05,1.0254e-03,-9.2983e-04,-4.4722e-05,1.2434e-09,4.5047e-04,5.9248e-04,1.0716e-03,9.8903e-04,0.0450,4.5660e-10,-1.0055e-03
25,149724.492797,-1.1602e-07,-2.4082e-06,2.8557e-05,2.8557e-05,1.0252e-03,-9.3018e-04,-4.4884e-05,1.2434e-09,4.5044e-04,5.9231e-04,1.0713e-03,9.8885e-04,0.0450,4.5658e-10,-1.0055e-03
26,150139.178488,6.3853e-08,1.3074e-06,2.8413e-05,2.8413e-05,1.0250e-03,-9.3074e-04,-4.5181e-05,1.2436e-09,4.5068e-04,5.9203e-04,1.0712e-03,9.8882e-04,0.0450,4.5655e-10,-1.0053e-03
27,150446.756981,8.2385e-08,2.7791e-06,2.8114e-05,2.8114e-05,1.0246e-03,-9.3148e-04,-4.5400e-05,1.2437e-09,4.5079e-04,5.9180e-04,1.0707e-03,9.8871e-04,0.0451,4.5653e-10,-1.0052e-03
28,150472.580199,1.7094e-07,4.8102e-06,2.8155e-05,2.8155e-05,1.0244e-03,-9.3158e-04,-4.5438e-05,1.2436e-09,4.5062e-04,5.9175e-04,1.0706e-03,9.8850e-04,0.0451,4.5651e-10,-1.0052e-03
29,150419.355483,3.9864e-07,6.9495e-06,2.8603e-05,2.8603e-05,1.0251e-03,-9.3074e-04,-4.5401e-05,1.2437e-09,4.5079e-04,5.9182e-04,1.0712e-03,9.8874e-04,0.0450,4.5653e-10,-1.0052e-03
30,150076.872430,7.5488e-08,1.2974e-06,2.8489e-05,2.8489e-05,1.0251e-03,-9.3058e-04,-4.5139e-05,1.2436e-09,4.5064e-04,5.9207e-04,1.0712e-03,9.8882e-04,0.0450,4.5656e-10,-1.0053e-03
31,149679.037725,-1.5280e-07,-3.1171e-06,2.8554e-05,2.8554e-05,1.0252e-03,-9.3014e-04,-4.4849e-05,1.2434e-09,4.5042e-04,5.9235e-04,1.0714e-03,9.8887e-04,0.0450,4.5658e-10,-1.0055e-03
32,149516.006144,-2.9083e-07,-6.2415e-06,2.8572e-05,2.8572e-05,1.0254e-03,-9.2983e-04,-4.4715e-05,1.2434e-09,4.5050e-04,5.9249e-04,1.0716e-03,9.8907e-04,0.0450,4.5661e-10,-1.0055e-03
