fluid,L_m,v0_m_s,U_W_m2K,nine_error,seventeen_error
steam-condensing,50.0,1.0,2.0,0.009885824552055326,0.007501472526261451
steam-condensing,50.0,1.0,15.0,1.7287092268748432E-4,3.863827917067844E-5
steam-condensing,50.0,1.0,60.0,9.391469135665013E-14,2.0682336523486995E-14
steam-condensing,50.0,3.0,2.0,0.010581601540499237,0.01495537774065088
steam-condensing,50.0,3.0,15.0,0.06324106688451765,0.019629466562365215
steam-condensing,50.0,3.0,60.0,4.425976071292914E-5,9.884961794384623E-6
steam-condensing,150.0,0.002,2.0,0.0,0.0
steam-condensing,150.0,0.002,15.0,0.0,0.0
steam-condensing,150.0,0.002,60.0,0.0,0.0
steam-condensing,150.0,0.02,2.0,0.0,0.0
steam-condensing,150.0,0.02,15.0,0.0,0.0
steam-condensing,150.0,0.02,60.0,0.0,0.0
steam-condensing,150.0,0.2,2.0,7.496726173477772E-4,1.676954182094924E-4
steam-condensing,150.0,0.2,15.0,0.0,0.0
steam-condensing,150.0,0.2,60.0,0.0,0.0
steam-condensing,150.0,1.0,2.0,0.07623419373517777,0.02658648068567293
steam-condensing,150.0,1.0,15.0,4.203442342554113E-11,9.314635349276846E-12
steam-condensing,150.0,1.0,60.0,0.0,0.0
steam-condensing,150.0,3.0,2.0,0.013405534997959632,0.00583683396631304
steam-condensing,150.0,3.0,15.0,6.700675670307108E-4,1.498792361723941E-4
steam-condensing,150.0,3.0,60.0,2.764586010948475E-12,6.115900707673785E-13
steam-sensible,1.0,0.002,2.0,0.0,0.0
steam-sensible,1.0,0.002,15.0,0.0,0.0
steam-sensible,1.0,0.002,60.0,0.0,0.0
steam-sensible,1.0,0.02,2.0,8.38221479633615E-6,3.371893345433698E-6
steam-sensible,1.0,0.02,15.0,0.0,0.0
steam-sensible,1.0,0.02,60.0,0.0,0.0
steam-sensible,1.0,0.2,2.0,3.684989277246811E-5,9.15151850027556E-6
steam-sensible,1.0,0.2,15.0,2.2541944850758373E-5,7.839297348590656E-6
steam-sensible,1.0,0.2,60.0,2.230940688483095E-10,1.0401762045161089E-10
steam-sensible,1.0,1.0,2.0,3.575724399800166E-5,9.843754415308141E-6
steam-sensible,1.0,1.0,15.0,3.678227413336879E-5,8.749524167149952E-6
steam-sensible,1.0,1.0,60.0,3.374250858067956E-5,9.728687363509063E-6
steam-sensible,1.0,3.0,2.0,3.837990369280335E-5,9.813153555005875E-6
steam-sensible,1.0,3.0,15.0,3.776022232802872E-5,9.443567442256685E-6
steam-sensible,1.0,3.0,60.0,3.705568362747955E-5,8.410830215119656E-6
steam-sensible,10.0,0.002,2.0,0.0,0.0
steam-sensible,10.0,0.002,15.0,0.0,0.0
steam-sensible,10.0,0.002,60.0,0.0,0.0
steam-sensible,10.0,0.02,2.0,0.0,0.0
steam-sensible,10.0,0.02,15.0,0.0,0.0
steam-sensible,10.0,0.02,60.0,0.0,0.0
steam-sensible,10.0,0.2,2.0,8.3822147963726E-6,3.371893345324347E-6
steam-sensible,10.0,0.2,15.0,0.0,0.0
steam-sensible,10.0,0.2,60.0,0.0,0.0
steam-sensible,10.0,1.0,2.0,3.321786296794656E-5,8.917794336719908E-6
steam-sensible,10.0,1.0,15.0,5.056440944523524E-7,2.2441713978432092E-7
steam-sensible,10.0,1.0,60.0,0.0,0.0
steam-sensible,10.0,3.0,2.0,3.8662931523299195E-5,9.153186118693803E-6
steam-sensible,10.0,3.0,15.0,3.1613104653826075E-5,9.562064301472381E-6
steam-sensible,10.0,3.0,60.0,1.1608529068902963E-9,5.386619070563078E-10
steam-sensible,50.0,0.002,2.0,0.0,0.0
steam-sensible,50.0,0.002,15.0,0.0,0.0
steam-sensible,50.0,0.002,60.0,0.0,0.0
steam-sensible,50.0,0.02,2.0,0.0,0.0
steam-sensible,50.0,0.02,15.0,0.0,0.0
steam-sensible,50.0,0.02,60.0,0.0,0.0
steam-sensible,50.0,0.2,2.0,2.5862091006666916E-15,1.2250464161052749E-15
steam-sensible,50.0,0.2,15.0,0.0,0.0
steam-sensible,50.0,0.2,60.0,0.0,0.0
steam-sensible,50.0,1.0,2.0,7.106332019391402E-6,2.8940668374073524E-6
steam-sensible,50.0,1.0,15.0,0.0,0.0
steam-sensible,50.0,1.0,60.0,0.0,0.0
